premise,original_hypothesis,contrast_hypothesis,original_label,contrast_label
A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,A person is training his horse for a competition. perhaps.,1,1
A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.","A person is at a diner, ordering an omelette.",2,0
A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","A person is not outdoors, on a horse.",0,2
Children smiling and waving at camera,They are smiling at their parents,They are smiling at their parents perhaps.,1,1
Children smiling and waving at camera,There are children present,There are children present,0,2
Children smiling and waving at camera,The kids are frowning,The kids are frowning,2,0
A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,The boy skates down the sidewalk.,2,0
A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,The boy does a skateboarding trick.,0,2
A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,The boy is wearing safety equipment. perhaps.,1,1
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,An older man drinks his juice as he waits for his daughter to get off work. perhaps.,1,1
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,A boy flips a burger.,2,0
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An elderly man sits in a small shop.,An elderly man sits in a small shop. perhaps.,1,1
Two blond women are hugging one another.,Some women are hugging on vacation.,Some women are hugging on vacation. perhaps.,1,1
Two blond women are hugging one another.,The women are sleeping.,The women are sleeping.,2,0
Two blond women are hugging one another.,There are women showing affection.,There are women showing affection.,0,2
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,The people are eating omelettes. perhaps.,1,1
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,The people are sitting at desks in school.,2,0
"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,The diners are at a restaurant.,0,2
An older man is drinking orange juice at a restaurant.,A man is drinking juice.,A man is not drinking juice.,0,2
An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,Two women are at a restaurant drinking wine.,2,0
An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,A man in a restaurant is waiting for his meal to arrive. perhaps.,1,1
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,A blond man getting a drink of water from a fountain in the park. perhaps.,1,1
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,A blond man wearing a brown shirt is reading a book on a bench in the park,2,0
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,A blond man drinking water from a fountain.,0,2
Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,The friends scowl at each other over a full dinner table.,2,0
Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,There are two woman in this not picture.,0,2
Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.","The friends have just met for the first time in 20 years, and have had a great time catching up. perhaps.",1,1
"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags. perhaps.",1,1
"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,Two groups of rival gang members flipped each other off.,2,0
"Two women, holding food carryout containers, hug.",Two women hug each other.,Two women hug each other.,0,2
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,A team is trying to score the games winning out. perhaps.,1,1
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,A team is not trying to tag a runner out.,0,2
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,A team is playing baseball on Saturn.,2,0
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,A school hosts a basketball game.,2,0
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,A high school is hosting an event. perhaps.,1,1
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,A school is not hosting an event.,0,2
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,The women do not care what clothes they wear.,2,0
High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,Women are waiting by a tram.,0,2
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,The women enjoy having a good fashion sense. perhaps.,1,1
"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.","A child with mom and dad, on summer vacation at the beach. perhaps.",1,1
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,A family of three is not at the beach.,0,2
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,A family of three is at the mall shopping.,2,0
People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,The people waiting on the train are sitting. perhaps.,1,1
People waiting to get on a train or just getting off.,There are people just getting on a train,There are people just getting on a train,0,2
People waiting to get on a train or just getting off.,There are people waiting on a train.,There are people waiting on a train.,0,2
A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,A couple are playing with a young child outside.,0,2
A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,A couple are playing frisbee with a young child at the beach. perhaps.,1,1
A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,A couple watch a little girl play by herself on the beach.,2,0
A couple play in the tide with their young son.,The family is sitting down for dinner.,The family is sitting down for dinner.,2,0
A couple play in the tide with their young son.,The family is outside.,The family is not outside.,0,2
A couple play in the tide with their young son.,The family is on vacation.,The family is on vacation. perhaps.,1,1
A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,The people are standing still on the curb.,2,0
A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.","Near a couple of restaurants, two people walk across the street.",0,2
A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,The couple are walking across the street together. perhaps.,1,1
A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,The woman is nake.,2,0
A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,The woman is cold. perhaps.,1,1
A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,The woman is not wearing green.,0,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,The man with the sign is caucasian. perhaps.,1,1
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,They are protesting outside the capital.,2,0
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,A woman in white.,0,2
